material_id,elasticity.G_VRH,composition
mp-976236,33.0,Na1 Ca1 Tl2
mp-976281,15.0,Li3 Pd1
mp-976943,94.0,Na1 Re3
mp-977059,45.0,Mg1 Pd5
mp-977390,85.0,Ta3 Ru1
mp-977407,93.0,Hf2 Re1 Rh1
mp-977463,59.0,Mg1 Mn1 Rh2
mp-977537,58.0,Zr1 Cd1 Rh2
mp-977585,60.0,Zr3 Tl1
mp-978270,35.0,Mg1 Zr3
mp-978281,25.0,Mg3 Ga1
mp-978508,48.0,Si3 Os1
mp-978523,34.0,Sc2 Zn1 Cu1
mp-978986,34.0,Sr1 Ge2 Pd2
mp-979,50.0,Zr1 Sb2
mp-980749,101.0,V1 Fe1 Ru2
mp-9814,21.0,Cu3 Sb1 Se4
mp-982245,30.0,Pb1 Au1 O3
mp-982667,61.0,Li1 Al2 Os1
mp-982734,90.0,W1 N2
mp-9843,30.0,Sr3 Al2 P4
mp-985280,47.0,Co3 Bi1
mp-985285,12.0,Co1 Hg3
mp-985579,44.0,Al1 Fe2
mp-9880,140.0,Y1 B2 C1
mp-989540,18.0,Sr6 Sn2 N1 O1
mp-989542,10.0,Ba6 Tl2 N1 Cl1
mp-989568,18.0,Cs2 Na1 Mg1 F6
mp-9929,79.0,Zr1 Cu1 Si1 As1
mp-9938,100.0,Hf2 Si1
mp-995214,7.0,H6 Pb1 C1 I3 N1
mp-9969,70.0,Sc1 Si1
mp-997025,12.0,Pb1 Au1 O2
mp-998554,12.0,K1 Ag1 Cl3
mp-9986,9.0,Cs1 Au1 O1
mp-998980,127.0,Ti1 Al1 Fe1 Co1
mp-999294,41.0,Pd3 N1
mp-999317,195.0,Os1 N1
mp-999318,30.0,Ni1 Bi1
mp-999389,76.0,Nb1 Fe3
mp-999460,36.0,Na1 Sc1 S2
mvc-13691,28.0,Y1 V1 O3
mvc-14006,42.0,Al1 Mo1 O3
mvc-14558,71.0,Mg2 Ti1 N2
mvc-15452,30.0,Y1 Mo1 O3
mp-1001581,118.0,Li1 C6
mp-1001789,86.0,Ir1 C1
mp-1001914,27.0,Li2 Sn1 Ir1
mp-1002105,231.0,V1 N1
mp-10048,26.0,Ga1 As1
mp-1006880,59.0,Bi1 B1
mp-1008274,149.0,Co3 W1
mp-1008524,19.0,Be1 Se1
mp-1008557,177.0,Al1 B1 N2
mp-1008634,24.0,Au1
mp-1008860,29.0,Nb1 S2
mp-1008929,89.0,Fe1 N1
mp-1009088,52.0,Be1 Ge1 As2
mp-1009746,11.0,Sc1 P1
mp-1009836,65.0,Zr1 N1
mp-1009838,126.0,Zr1 N1
mp-1013716,9.0,Ba3 Bi1 As1
mp-1016827,106.0,Mg1 Ge1 O3
mp-1016854,72.0,Mn1 Cd1 O3
mp-1016931,26.0,V1 Zn1 O3
mp-1017515,76.0,Mn2 Co1 As1
mp-1017532,218.0,V1 N1
mp-1017555,36.0,Cs1 Be1 F3
mp-1018081,94.0,Cr1 Fe3
mp-1018096,24.0,Ba2 N1 F1
mp-1018097,47.0,Ba1 Ca1 O2
mp-1018150,14.0,Nb1 Te2
mp-1018635,19.0,Sc1 Pd3 C1
mp-1019743,134.0,Ga3 B1 N4
mp-1020059,86.0,Li1 Ge2 N3
mp-1021323,98.0,Li1 C12
mp-1021499,26.0,Cu2 Se1
mp-1021667,24.0,I1 Cl1 O3
mp-10228,16.0,Nb1 Se2
mp-1025291,46.0,Ti1 Nb2 Se4
mp-1025385,57.0,Ag1 P1 Pt5
mp-10261,33.0,Ti1 Ni2 Sb1
mp-1029422,53.0,Nb1 Zn2 N3
mp-1029474,54.0,Ca7 Si1 N6
mp-1029537,25.0,Ba3 Ru1 N3
mp-1029542,37.0,Na6 Mo1 N4
mp-1029573,20.0,Ba3 Ga1 N3
mp-1029741,38.0,Sr3 Ir1 N3
mp-1029779,74.0,Zn1 Ge1 N2
mp-1029878,29.0,Sr1 Mn1 N2
mp-1039019,26.0,Mg1 Al1
mp-104,24.0,Sb1
mp-1040467,93.0,Rb1 Os1 O3
mp-10422,21.0,Na1 Au1 C2
mp-10669,21.0,Ba3 Al2 Ge2
mp-10748,25.0,Ta1 Cu3 S4
mp-10749,34.0,Sr1 Cu1 Sb1
mp-10883,93.0,Al1 Cr1 Co2
mp-10884,98.0,Al1 Fe1 Co2
mp-1089,162.0,Ti1 Ir3
mp-10895,98.0,Mn2 Al1 V1
mp-10903,32.0,Al1 Pt1
mp-10967,23.0,Cd1 Cu2 Ge1 Se4
mp-1108,200.0,Ta1 B2
mp-11176,51.0,Ca3 Si4 Ir4
mp-11229,35.0,Y1 Al1
mp-11239,47.0,Zr1 Ag1
mp-11248,24.0,Li1 Au3
mp-11260,11.0,Ti3 Au1
mp-11282,170.0,Be2 W1
mp-11284,41.0,Ca1 Ga2
mp-1129,75.0,Sc1 Ir1
mp-11327,7.0,Rb2 Se1
mp-11407,79.0,Ga1 Pt3
mp-11452,117.0,Hf1 Os1
mp-11533,71.0,Zr1 Zn1 Ni4
mp-11557,75.0,Sc1 Re2
mp-11661,111.0,Zr3 N4
mp-11750,104.0,Ti6 Si2 B1
mp-11806,40.0,Li1 Mg1 Sn1 Pt1
mp-11984,39.0,Y1 Mg1 Tl1
mp-12029,46.0,Li2 Cu1 P1
mp-12098,35.0,K1 P2 Rh2
mp-1214,72.0,V1 S1
mp-1221,54.0,V3 Ge1
mp-1232,85.0,Mo3 Pt1
mp-12527,14.0,Ti2 Te2 P1
mp-12572,13.0,Ca1 Pd3 C1
mp-12724,9.0,Sr1 Zn1
mp-12806,22.0,Cu2 Ge1 Te3
mp-1282,204.0,V1 C1
mp-12867,66.0,Sr1 Sn1 O3
mp-13089,20.0,Cu2 Sn1 Te3
mp-13092,51.0,Zr6 Al2 Ni1
mp-13137,123.0,Hf2 C1 S1
mp-13160,54.0,Y1 Zn1 Ge1
mp-13277,29.0,Ba1 Li1 P1
mp-13313,25.0,Sc1 Tl1 Se2
mp-13520,16.0,Na2 Zn1 Ge1
mp-13590,7.0,Li1 B1 C4 N4
mp-13799,21.0,K2 Na1 Y1 F6
mp-13868,17.0,Pd1 F4
mp-13949,17.0,Cd1 Ga2 Te4
mp-14116,45.0,Cu1 Rh1 O2
mp-15236,19.0,Cr1 Sb1 Se3
mp-153,18.0,Mg1
mp-15397,86.0,Ti7 Al2 O15
mp-1550,47.0,Al1 P1
mp-15642,33.0,Sr1 Mg1 Si1
mp-1565,103.0,Zr1 O2
mp-15657,102.0,Ti1 Co1 Si1
mp-15702,144.0,Mg1 C1 N2
mp-15776,24.0,Zn1 Ga2 Se4
mp-1601,65.0,Ta1 Ru1
mp-16343,33.0,Li1 In1 Ge1
mp-16491,60.0,Sr1 Al9 Co2
mp-16526,58.0,Al1 Pt2
mp-16529,57.0,Al6 Ru1
mp-1667,51.0,Co2 Ge1
mp-1725,24.0,Ca1 Zn2
mp-1747,9.0,K2 Te1
mp-17546,7.0,Cs2 Ru1 O4
mp-1755,29.0,Zn1 Au3
mp-1784,10.0,Cs1 F1
mp-18427,82.0,Nb2 Al1
mp-18766,101.0,Si1 Ni2 O4
mp-18767,67.0,Li1 Mn1 O2
mp-18779,19.0,Na2 Cr1 O4
mp-188,91.0,Al1 Pt3
mp-18829,67.0,Sr2 Zn1 Mo1 O6
mp-18962,53.0,Sr2 Ca1 Mo1 O6
mp-19005,65.0,Y6 W1 O12
mp-19112,39.0,Fe1 S1 O4
mp-19167,12.0,Rb2 Ni1 O2
mp-1922,93.0,Ru1 Se2
mp-19308,73.0,Li2 Ni1 O2
mp-19435,52.0,Co1 Mo1 O4
mp-1984,17.0,Ta1 S2
mp-19851,25.0,K1 In1 Te2
mp-19943,31.0,Y1 Cu1 Sb2
mp-19955,73.0,Co2 Cu1 Ge2
mp-19970,35.0,Li3 Cu1 O3
mp-20025,23.0,Mn1 Ga2 S4
mp-2012,16.0,Li1 Hg1
mp-20196,21.0,Nb1 Te4
mp-2034,167.0,W2 C1
mp-20344,68.0,Fe3 Ge1
mp-20512,60.0,Fe1 Sn1
mp-2056,47.0,Ni3 Se2
mp-20622,44.0,Si1 Pd3
mp-20714,59.0,Fe1 Sb2
mp-2079,10.0,Rb2 P3
mp-20883,53.0,Fe3 Sn1
mp-20994,117.0,Ta1 O2
mp-21029,18.0,Li2 In1 Pd1
mp-21374,12.0,Cd1 In2 Te4
mp-2176,22.0,Zn1 Te1
mp-21859,23.0,Cu1 As2
mp-22079,61.0,As1 Rh1
mp-22095,22.0,Ga2 Pt1
mp-22151,22.0,Ba1 Ge1 Pt1
mp-22156,92.0,Hf2 In1 C1
mp-22212,94.0,Na1 Sb1 O3
mp-22318,34.0,Sr1 Al2
mp-22351,131.0,Nb1 Ru3 C1
mp-2237,49.0,Te1 O2
mp-22375,24.0,In2 S3
mp-2250,73.0,Zr1 Ni2
mp-22894,6.0,Ag1 I1
mp-22941,27.0,Ca1 Cu1 Bi1
mp-22962,7.0,Cs1 Ti1 Br3
mp-22975,6.0,Rb2 Te1 Cl6
mp-23054,26.0,Na1 Bi1 O3
mp-23102,39.0,Sr2 Cu1 Cl2 O2
mp-23157,8.0,Bi1
mp-23202,7.0,In1 I1
mp-23241,30.0,Y1 Bi1
mp-23279,3.0,K1 Bi2
mp-23954,17.0,Na2 H2 Pd1
mp-23959,15.0,K1 P1 H2 O4
mp-24045,48.0,Al1 P1 H4 O6
mp-24286,29.0,Zr1 H2
mp-2515,97.0,Cr1 Pt3
mp-2516,29.0,Y1 Zn1
mp-2611,22.0,Ba1 Ge2
mp-2637,17.0,Y1 Se1
mp-2644,69.0,Co1 Sb1
mp-2661,33.0,Sr1 Si1
mp-27275,41.0,Li3 B1 O3
mp-274,55.0,Nb5 Sb4
mp-27606,71.0,Zr1 As2
mp-27743,11.0,Bi1 F5
mp-2776,12.0,Ga2 Au1
mp-28020,6.0,Al1 Cu1 Cl4
mp-28166,13.0,K3 Br1 O1
mp-28302,9.0,K4 Cd1 P2
mp-28835,11.0,Li1 Sc1 I3
mp-29145,4.0,H3 N1
mp-2930,71.0,Mn3 Zn1 C1
mp-2931,73.0,Li2 Ti1 O3
mp-29403,4.0,Ga1 Cu1 I4
mp-29481,4.0,Rb2 W1 Br6
mp-29621,14.0,Ba5 Bi3
mp-29646,75.0,Hf1 As2
mp-29920,10.0,Rb5 Au3 O2
mp-30156,79.0,Li1 Mg1 N1
mp-30206,5.0,Cs1 Cl1 O4
mp-30242,61.0,Mg4 H2 O5
mp-30344,15.0,Li2 In1 Ag1
mp-30353,63.0,Ag1 Pt3
mp-30406,22.0,Li2 Tl1 Au1
mp-30671,63.0,Ti2 Ga1
mp-30768,23.0,Li7 Sn3
mp-30835,72.0,Ta1 Pd2
mp-30856,68.0,Zn1 Pt3
mp-30871,27.0,Ta3 Sn1
mp-30876,40.0,Zr3 Sn1
mp-30933,46.0,Zr1 Bi1
mp-31018,21.0,Sr1 Ag1 Bi1
mp-31055,81.0,Sc3 In1 N1
mp-31086,19.0,Na1 P5
mp-31148,25.0,Ba1 Zn1 Sn1
mp-31171,26.0,Zn2 Ag1 Au1
mp-31185,122.0,Mn1 Al1 Fe2
mp-31379,34.0,Zr2 Sb1
mp-31496,21.0,Li2 Sn2 Au1
mp-31624,107.0,Sr2 Ta1 Cr1 O6
mp-3173,40.0,Ca1 Al1 Si1
mp-31756,75.0,Ba2 Fe1 Re1 O6
mp-32311,14.0,Re2 Ni1 O8
mp-3271,101.0,Ti3 Al1 C1
mp-3299,57.0,Sr1 Fe2 P2
mp-333,82.0,Hf1 Fe2
mp-3397,29.0,Ba2 Ti1 O4
mp-3532,23.0,Cr1 Ag1 Se2
mp-3576,77.0,Hf1 Ga1 Co2
mp-3597,53.0,Ba1 Ru1 O3
mp-3637,61.0,Y1 O1 F1
mp-36779,55.0,P1 N1 O1
mp-3698,39.0,Sr1 Al1 Si1
mp-3726,30.0,Li2 Ga1 Pt1
mp-3732,134.0,Ti2 C1 S1
mp-37620,70.0,Li1 Mn1 O2
mp-3802,146.0,Ta4 Al1 C3
mp-3871,92.0,Ti2 Sn1 C1
mp-3889,19.0,Na1 B1 O2
mp-4002,35.0,Li2 Zr1 F6
mp-401,37.0,Sc2 S3
mp-4079,83.0,Sc3 Al1 C1
mp-4259,60.0,Ca1 Co2 Ge2
mp-430,85.0,Ti1 O2
mp-4354,14.0,Tl1 Ni2 Se2
mp-4396,10.0,Ba1 N2 O6
mp-4531,13.0,Na1 N1 O3
mp-4541,31.0,Na1 Cu1 O2
mp-4573,18.0,Tl1 Sb1 Te2
mp-458,87.0,Ti2 O3
mp-463,17.0,K1 F1
mp-4630,47.0,Li2 Ru1 O3
mp-4651,102.0,Sr1 Ti1 O3
mp-4668,24.0,K1 Co2 Se2
mp-47,525.0,C1
mp-4753,89.0,Al2 Si1 O5
mp-48,96.0,C1
mp-4826,63.0,Ca1 Cu1 O2
mp-4897,32.0,Sc1 Sn1 Pd2
mp-5012,51.0,Li2 Si1 O3
mp-504600,8.0,Na1 H4 Cl1 O2
mp-505572,65.0,Al13 Cr4 Si4
mp-505804,50.0,Ti2 Cu1 Sb3
mp-510409,104.0,Ti1 Si1 Ni1
mp-5146,58.0,Zn1 Rh2 O4
mp-530399,121.0,Li1 Al5 O8
mp-5305,30.0,Cu1 As1 S1
mp-538,11.0,Ca1 Ag1
mp-5414,15.0,Na1 Sb1 S2
mp-542640,54.0,Ge1 Pt1
mp-542909,83.0,Mn1
mp-546633,8.0,K1 Cl1 O4
mp-548469,35.0,Ba1 Zn1 S1 O1
mp-551685,20.0,Pb2 O1
mp-552454,119.0,Sr1 Ta1 N1 O2
mp-553932,24.0,Ga1 P1 O4
mp-554278,61.0,Ti1 O2
mp-5566,30.0,K1 Cu1 F3
mp-557133,21.0,Cs2 K1 Mo1 F6
mp-557397,16.0,K2 Mn1 F6
mp-557686,32.0,Zr1 V1 F6
mp-560963,34.0,Rb2 Na1 Mo1 F6
mp-560976,40.0,K1 Ni1 F3
mp-5615,36.0,Ca1 Ag1 As1
mp-563,174.0,C3 N4
mp-567551,187.0,Si1 C1
mp-567767,35.0,Co1 C1 N2
mp-567817,11.0,Hf1 Ge1 Te4
mp-568284,7.0,Sr1 I2
mp-568607,94.0,Al5 Mo1
mp-569204,12.0,Tl1 Cu2 Te2
mp-569484,5.0,Cs3 Ti2 Cl9
mp-569544,57.0,Zr1 Te1
mp-569594,112.0,Fe7 Mo6
mp-569849,21.0,Li15 Si4
mp-570684,94.0,Zr1 Os2
mp-570835,27.0,Ni1 Hg4
mp-571160,20.0,Tl2 Pt1
mp-571353,15.0,Ba1 Sn5
mp-571566,42.0,Li2 Zn1 Si1
mp-571599,20.0,Ba1 Bi2 Pd2
mp-573,34.0,Ni3 Se4
mp-5840,79.0,Li1 Sc1 O2
mp-5878,34.0,K1 Zn1 F3
mp-592,107.0,Ti1 Ru1
mp-5920,51.0,Li1 Al1 Ge1
mp-5933,76.0,Ba1 Ti1 O3
mp-5967,75.0,Ti1 Co1 Sb1
mp-600124,46.0,Mn1 Ni1 Sb1
mp-604908,10.0,Co1 Se1
mp-605034,10.0,K2 Ni1 F6
mp-6065,93.0,Sr2 Ga1 Sb1 O6
mp-608366,7.0,Cu1 N6
mp-608555,4.0,Cs2 Sn1 Cl6
mp-615314,103.0,Sc1 Co1 C2
mp-616378,7.0,Cs1 Sn1 I3
mp-6179,19.0,K1 Li1 S1 O4
mp-620571,23.0,Ca1 In1 Pd1
mp-629397,84.0,Fe1 Ni1 N1
mp-631303,65.0,In1 Re1 Ge1
mp-632442,89.0,Al4 C3
mp-633538,119.0,B9 C1
mp-636334,55.0,Sn1 Rh2
mp-640266,42.0,Ca3 Al2 O6
mp-641365,30.0,Pb1 W1 O4
mp-643265,3.0,Re1 F7
mp-643754,11.0,Hg1 H2 N1 Cl1
mp-644264,44.0,Ca4 Mg4 Fe3 H22
mp-649,92.0,Fe1 Pt3
mp-650,132.0,Be5 Pd1
mp-6564,43.0,Sr2 Mg1 Si2 O7
mp-6586,28.0,K2 Na1 Al1 F6
mp-672371,49.0,Ni3 Sb1
mp-675271,4.0,Na2 C1 O5
mp-675531,21.0,Na1 Bi1 S2
mp-675748,25.0,Zn2 Ge1 S4
mp-676512,27.0,Na3 Al1 F6
mp-684597,27.0,In1 Sb1
mp-685146,13.0,Cd1 Te1
mp-6870,36.0,K1 Be2 B1 O3 F2
mp-690789,11.0,K3 Re1 H6
mp-6950,17.0,Ba1 Sb3
mp-6959,12.0,Ga2 Ni1 S4
mp-7032,121.0,Hf1 Mo1 P1
mp-704645,25.0,Cu1 O1
mp-715493,34.0,V4 O7
mp-728,21.0,Li2 Pd1
mp-7298,36.0,Li1 Cu2 P2
mp-7302,100.0,Cr1 P4
mp-7359,28.0,Ba1 Ag1 As1
mp-7440,13.0,Na1 P1
mp-7506,133.0,Cr5 Si3
mp-752730,30.0,Ba2 Ge1 O4
mp-752927,27.0,Li1 Ag1 F2
mp-754009,46.0,Sc1 Bi1 O3
mp-754134,96.0,Hf1 Zr1 O4
mp-754165,83.0,Sc1 Ga1 O3
mp-754515,23.0,Ba1 Mg1 Ge1
mp-754516,33.0,Li1 Ni1 P1
mp-754553,57.0,Zn3 N2
mp-754741,50.0,Zr1 O2
mp-755144,36.0,Na1 Li1 O1
mp-755175,125.0,Al2 O3
mp-755300,51.0,Ti1 O1
mp-755318,53.0,Sc1 H1 O2
mp-755352,68.0,Li2 Hf1 O3
mp-755895,66.0,Ba3 Zr2 O7
mp-756132,6.0,Cu1 Sb2 O4
mp-7573,208.0,Co1 B2 W2
mp-7576,116.0,Cr1 Si1
mp-758741,65.0,Li1 Fe2 P2
mp-7618,14.0,Cs3 Y1 F6
mp-765508,51.0,V3 O4 F2
mp-770690,49.0,Mn3 Te1 O6
mp-774192,71.0,Li2 V1 O3
mp-776651,71.0,Mn3 Ni1 O4
mp-7781,37.0,Ca1 Zr1 S3
mp-7801,30.0,Ca1 Ge1 N2
mp-7804,159.0,Hf1 Co3 B2
mp-7832,196.0,B1 W1
mp-783905,33.0,Na1 V2 O4
mp-7846,50.0,Zn3 P2
mp-7848,25.0,Al1 P1 O4
mp-7863,18.0,Rb2 Sn2 O3
mp-7881,8.0,Sr1 Cd2 Ge2
mp-7898,7.0,Rb3 As1
mp-7928,18.0,K2 Pt1 S2
mp-7940,36.0,K1 Nb1 Se2
mp-811,63.0,Ba1 Pt5
mp-8159,16.0,Tl1 Cu4 S3
mp-8177,15.0,Hg1 F2
mp-8200,26.0,Ag1 P2
mp-8237,28.0,Ba1 As2 Pd2
mp-8262,11.0,K2 P3
mp-8280,33.0,Ba1 Mg2 As2
mp-830,104.0,Ga1 N1
mp-839,73.0,V3 Au1
mp-8577,85.0,Sc3 Ga1 C1
mp-861639,64.0,Ti2 Co1 Ir1
mp-861640,72.0,Ti2 Al1 Re1
mp-862600,114.0,Be2 Pt1 Rh1
mp-862609,109.0,Sc1 Re1 Tc2
mp-862710,29.0,Sc2 Cd1 Tc1
mp-862716,21.0,Li1 Ag3
mp-862717,33.0,Li1 Al1 Au2
mp-864650,133.0,Ta2 Os1 W1
mp-864896,69.0,Zr2 Co1 Tc1
mp-864903,87.0,Mg1 Ta1 Ru2
mp-864949,90.0,Mn1 Ga1 Rh2
mp-864951,144.0,Mn1 Al1 Os2
mp-865162,68.0,Mg1 Ge1 Rh2
mp-865163,66.0,Hf1 Be1 Rh2
mp-865430,25.0,Y1 Te1
mp-865442,104.0,Ti1 Al1 Os2
mp-865444,36.0,Li1 Sc2 Pt1
mp-865499,129.0,V2 Tc1 Os1
mp-865548,68.0,Ti1 In1 Co2
mp-865650,94.0,Ti2 Tc1 Ru1
mp-865659,36.0,Y2 Zn1 Ir1
mp-865712,66.0,Ti2 Mn1 Ni1
mp-865728,79.0,Ti2 Re1 Ni1
mp-865798,47.0,Ga1 Cu3
mp-865888,108.0,Ti1 Sn1 Ru2
mp-865912,33.0,Li1 Zn2 Rh1
mp-865924,11.0,Li1 Zr1 Au2
mp-865933,102.0,Li1 Si1 Ir2
mp-865935,19.0,Li2 Mg1 Sn1
mp-866083,116.0,Zr3 N2
mp-866121,107.0,V3 Os1
mp-867187,79.0,Sc1 In1 Ir2
mp-867206,19.0,Li1 Cd2 Pt1
mp-867251,27.0,Li1 Zn2 Pt1
mp-867262,91.0,Sc1 Tc3
mp-867263,16.0,Sc1 Cd1 Hg2
mp-867780,83.0,Al3 Cr1
mp-867835,123.0,Be1 Si1 Ru2
mp-867917,67.0,Cu1 Ge1 Rh2
mp-8753,9.0,K4 Hg1 P2
mp-8873,62.0,Li1 Ge1 B1 O4
mp-8996,111.0,Sc3 Ru1 C4
mp-9027,36.0,Ti1 S2
mp-9124,40.0,Li1 Zn1 As1
mp-9208,237.0,V2 B3
mp-924130,68.0,Ti1 Ni1 Sn1
mp-930,76.0,Zr1 P1
mp-9379,29.0,Sr1 Sn2 As2
mp-9381,60.0,Zr6 Fe1 Te2
mp-945184,21.0,Y1 Cu1 Te2
mp-9459,52.0,Y4 C5
mp-95,6.0,Sr1
mp-9568,33.0,Li3 Ga2
mp-961685,23.0,Na1 Ca1 As1
mp-9635,11.0,Ag2 Hg1 S2
mp-971669,44.0,Fe1 Sb3
mp-972205,124.0,V2 Mo1 Os1
mp-972222,112.0,Ta1 Be1 O3
mp-972810,97.0,Si1 Tc2 W1
mp-972876,34.0,Sc3 Cd1
mp-972914,31.0,Sc2 Al1 Cd1
mp-973185,40.0,Sc1 Ag1 O2
mp-973267,92.0,K1 Tc1 O3
mp-973471,112.0,K1 Re1 O3
mp-974370,124.0,Pt1 Rh3
mp-974842,39.0,K1 Pt1 O3
mp-975346,48.0,Rb1 Mn1 O3
mp-975608,37.0,Li2 Tl1 Pt1
mp-976106,57.0,Hf3 Tl1
mp-976262,16.0,Li1 Mg1
mp-976273,84.0,Hf3 Ge2
mp-976598,61.0,Li1 Hf2 Ir1
mp-976923,73.0,Na1 Re1 O3
mp-976968,36.0,Na1 Pd1 O3
mp-977218,10.0,Li2 Mg1
mp-977408,93.0,Nb1 Tl1 O3
mp-977436,68.0,Zr1 Al1 Ru2
mp-977549,86.0,Zr2 Os1 Ru1
mp-978283,25.0,Mg3 In1
mp-978293,16.0,Mg3 Pb1
mp-979435,26.0,Y1 Mg2 Sc1
mp-981379,28.0,Zn3 Cd1 S4
mp-982040,65.0,K1 Bi1 O3
mp-985806,47.0,Al2 Cu1
mp-989539,16.0,Rb2 Al1 Tl1 H6
mp-989592,45.0,Sr6 Sn2 N1 F1
mp-990440,51.0,Na2 Zr1 O3
mp-9954,66.0,Hf1 As1
mp-996979,28.0,Ba1 Ag1 O2
mp-996983,17.0,Ag1 Au1 O2
mp-998866,162.0,C1
mp-998908,85.0,Ti1 N1
mp-998970,44.0,Ti1 Fe2 Sb1
mp-998987,37.0,Ti3 Ge1
mp-999264,138.0,Re1 N1
mp-999388,91.0,Nb1 C1
mvc-11155,78.0,Al1 Ni1 O3
mvc-11198,45.0,Y1 Ti1 O3
mvc-14714,29.0,Zn1 Mo1 F6
mvc-3769,37.0,Y1 Mo1 O3
mp-10000,74.0,Hf2 S1
mp-10015,130.0,Si1 Os1
mp-1002083,4.0,Cs1 K1 I1 Cl1
mp-1005,133.0,Fe1 P1
mp-10059,130.0,Zr1 Co3 B2
mp-1007691,56.0,Hf1 Pt1
mp-1007730,51.0,Hf1 Al3
mp-1007974,99.0,Cr1 Ni3
mp-1008918,48.0,Cd1 N1
mp-1008920,27.0,Mn2 Ge1
mp-1009134,161.0,Mn1 Fe1
mp-1009533,22.0,Pd1 C1
mp-1011860,25.0,Na2 Co1 P2 O7
mp-1013533,27.0,Ba3 P1 N1
mp-1013710,7.0,Ba3 Bi1 N1
mp-1013736,10.0,Ba3 Bi2
mp-1014373,20.0,Cr1 N2
mp-10159,7.0,K3 Sb1
mp-1016821,122.0,Ba1 Si1 O3
mp-1016840,58.0,Hg1 Os1 O3
mp-10175,24.0,K1 Cd1 F3
mp-1017542,110.0,Zr1 Os3
mp-1017552,30.0,Bi2 O3
mp-1018057,65.0,Hf1 Be1
mp-1018075,61.0,Fe1 Se1
mp-1018104,28.0,Zr2 Cd1
mp-1018643,14.0,Y1 B1 Pd3
mp-1018850,203.0,Os1 C2
mp-10189,25.0,Li1 Ti1 Te2
mp-1019089,19.0,K1 Mg1 As1
mp-1019097,59.0,Si1 C2
mp-1021327,14.0,K1 Li1 I1 Cl1
mp-10245,83.0,Hf3 Cu4 Si4
mp-10250,42.0,Ba1 Li1 F3
mp-1025168,3.0,Ru1 F6
mp-1025219,31.0,Ti2 V1 Te4
mp-1025272,79.0,Zn1 P1 Pt5
mp-1025280,44.0,Sr2 Cu1 O2 F2
mp-1025524,81.0,Zr2 Tl1 C1
mp-1029309,22.0,Na2 Hf1 N2
mp-1029337,75.0,Zr2 Se1 N2
mp-1029375,11.0,Ba1 C1 N2
mp-1029536,69.0,Mg1 Zr1 N2
mp-1029655,30.0,Sr3 W1 N3
mp-1029702,77.0,Mg1 Ti1 N2
mp-1029791,61.0,Mg1 Sn1 N2
mp-1029799,33.0,Sr4 Ti1 N4
mp-1029826,64.0,Li6 Os1 N4
mp-1029903,58.0,Li1 Nb1 N2
mp-10326,12.0,Zn1 Re2 O8
mp-1039073,13.0,Mg3 Bi1
mp-1039447,9.0,Ca1 Zn1
mp-10445,32.0,Sc6 Fe1 Te2
mp-10455,53.0,Y1 Ti1 Ge1
mp-10457,92.0,Hf1 Si1 Pd1
mp-105,17.0,Te1
mp-10635,23.0,Sn1 Sb1
mp-10676,74.0,Sc2 Al1 Si2
mp-1073,15.0,Ca1 Cd1
mp-10746,64.0,Mg2 Cu3 Si1
mp-1082,215.0,V1 Ir3
mp-10847,47.0,Ni1 Sb1 Se1
mp-10892,41.0,Mn1 Al1 Pt1
mp-10901,63.0,Al3 Pd2
mp-11169,50.0,Ba1 P2 Ir2
mp-11175,16.0,Li1 Zn1 P1 S4
mp-11237,32.0,Sc1 Ag1
mp-11280,59.0,Ti1 Be12
mp-11313,28.0,Zr1 Cd3
mp-1136,14.0,Na3 As1
mp-11364,44.0,Ti1 Cu1
mp-1139,133.0,Co3 Mo1
mp-11471,29.0,Sc1 Hg1
mp-11560,103.0,Ti1 Si1 Ru1
mp-1157,76.0,Ta1 Ni2
mp-11687,17.0,V1 Te2
mp-11696,74.0,As3 W2
mp-11734,78.0,Sr2 Mg1 Re1 O6
mp-11754,32.0,Sc6 Te2 Os1
mp-11883,58.0,Mg1 Ir2
mp-1190,28.0,Zn1 Se1
mp-11918,63.0,Ca1 Be2 N2
mp-1222,156.0,Cr1 Si2
mp-12265,26.0,Sr1 Cu1 F4
mp-12335,33.0,Mn1 C1 N2
mp-1253,21.0,Ba1 Se1
mp-12557,41.0,Sr1 Cu1 As1
mp-12674,30.0,Mn1 Au1
mp-12741,42.0,Mg1 Pd2
mp-12798,92.0,Ni3 Pt1
mp-12906,31.0,Sr3 Cr1 N3
mp-12923,34.0,Sr1 P1 Ir1
mp-12972,59.0,Zr6 Sb2 Pt1
mp-13097,21.0,Na1 Zn1 As1
mp-13099,39.0,Y1 N1
mp-134,24.0,Al1
mp-13649,13.0,Cs2 Ag1 F4
mp-1371,25.0,Sn3 Pd1
mp-1387,10.0,Al1 V3
mp-1391,23.0,Ag2 F1
mp-13944,101.0,Li3 Al1 N2
mp-13946,10.0,Rb2 Zr1 F6
mp-14115,48.0,Li1 Rh1 O2
mp-14205,11.0,K3 Cu3 As2
mp-1439,81.0,Ti1 O2
mp-1459,238.0,Ta1 N1
mp-14763,51.0,Ca3 Mn1 N3
mp-1487,72.0,Al1 Ni1
mp-1541,43.0,Be1 Se1
mp-15624,22.0,Sr2 Sb1
mp-15659,27.0,Sb2 Pt3
mp-15660,144.0,Nb4 C3
mp-15661,66.0,Sc4 C3
