0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
0.6,0.012,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Arsenic, As', '<= 0.012 %', '<= 0.012 %', '']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Bismuth, Bi', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
4994,99.88,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Copper, Cu', '>= 99.88 %', '>= 99.88 %', 'Includes Ag']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
1.25,0.025,"Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products","['Selenium, Se', '<= 0.025 %', '<= 0.025 %', 'includes Te']","['Tensile Strength, Ultimate', '290 MPa', '42100 psi', '']","['Tensile Strength, Yield', '250 MPa@Strain 0.500 %', '36300 psi@Strain 0.500 %', '']","['Elongation at Break', '14 %', '14 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
0.6,0.012,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Arsenic, As', '<= 0.012 %', '<= 0.012 %', '']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Bismuth, Bi', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
4994,99.88,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Copper, Cu', '>= 99.88 %', '>= 99.88 %', 'Includes Ag']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
1.25,0.025,"Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products","['Selenium, Se', '<= 0.025 %', '<= 0.025 %', 'includes Te']","['Tensile Strength, Ultimate', '345 MPa', '50000 psi', '']","['Tensile Strength, Yield', '310 MPa@Strain 0.500 %', '45000 psi@Strain 0.500 %', '']","['Elongation at Break', '6.0 %', '6.0 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.6,0.012,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Arsenic, As', '<= 0.012 %', '<= 0.012 %', '']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Bismuth, Bi', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
4994,99.88,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Copper, Cu', '>= 99.88 %', '>= 99.88 %', 'Includes Ag']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
1.25,0.025,"Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products","['Selenium, Se', '<= 0.025 %', '<= 0.025 %', 'includes Te']","['Tensile Strength, Ultimate', '380 MPa', '55100 psi', '']","['Tensile Strength, Yield', '345 MPa@Strain 0.500 %', '50000 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.6,0.012,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Arsenic, As', '<= 0.012 %', '<= 0.012 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Bismuth, Bi', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
4994,99.88,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Copper, Cu', '>= 99.88 %', '>= 99.88 %', 'Includes Ag']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '395 MPa', '57300 psi', '']","['Tensile Strength, Yield', '365 MPa@Strain 0.500 %', '52900 psi@Strain 0.500 %', '']","['Elongation at Break', '4.0 %', '4.0 %', 'In 50 mm']"
