material_id,MagpieData minimum Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData range AtomicWeight,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-864654,28.0,5.875,59.0,69.0,10.0,64.5,4.5,44.21210000000001,2237.0,1544.3200000000002,1337.59,644.9100000000001,10.75,4.25,20.0,127.5,7.25,122.0,0.6299999999999999,1.8725,10.0,9.0,1.0,12.0,3.0,10.75,1.25,0.0,1.0,0.0,1.25,1.25,0.0,13.96,12.97,1.3250000000000002,13.96,0.0,209.5,0.0,61.94181487701871
mp-971631,15.0,8.0,74.0,83.0,9.0,78.5,4.5,38.749238,317.3,14.389999999999986,310.105,7.194999999999993,14.0,3.5,15.0,114.5,7.5,107.0,0.3799999999999999,2.0,10.0,5.0,5.0,13.0,8.0,9.0,4.0,4.0,0.0,3.0,4.0,1.0,3.0,22.5702380952,20.7138690476,1.8563690475999994,18.8575,0.8125,33.0,4.242640687119285,51.0
mp-979263,12.0,29.25,16.0,68.0,52.0,55.0,19.5,207.73306,2023.0,1100.0,1198.0,412.5,2.25,4.0,65.0,157.25,24.375,141.0,0.010000000000000009,1.3075,2.0,0.5,0.75,4.0,2.0,2.5,0.75,0.0,2.0,0.0,2.0,3.0,0.0,32.37,25.259999999999998,3.554999999999998,22.89,0.0,201.75,0.0,21.384321963209203
mp-13099,7.0,16.0,12.0,82.0,70.0,47.0,35.0,74.89915,1799.0,1735.95,931.025,867.975,9.0,3.5,119.0,130.5,59.5,71.0,1.82,2.13,1.0,0.5,0.5,5.0,2.0,4.0,1.0,1.5,4.5,3.0,6.0,3.0,3.0,32.365,23.566875000000003,8.798125,14.76875,3.2185,194.0,4.242640687119285,103.0
mp-1016848,8.0,23.76,8.0,87.0,79.0,65.8,25.44,176.2176,2739.0,2684.2,790.6800000000001,883.0560000000002,11.8,3.4,129.0,106.8,48.96,66.0,2.49,2.694,7.0,1.4,2.2399999999999998,23.0,21.0,8.6,5.76,1.2,0.6,0.0,1.8,0.72,2.0,54.23,19.151,14.031599999999997,9.105,0.0,97.2,3.3806170189140663,72.79554047599137
mp-975848,12.0,23.75,17.0,68.0,51.0,43.0,25.0,119.93699999999998,1294.0,371.0,1086.0,163.0,2.5,4.5,62.0,171.5,30.5,141.0,0.18000000000000016,1.2225,0.0,0.0,0.0,6.0,4.0,3.75,1.75,0.0,0.0,0.0,5.25,5.25,0.0,35.675,29.06625,6.17625,22.89,0.0,194.0,0.0,22.904445444475044
mp-997031,8.0,7.375,64.0,87.0,23.0,76.5,10.5,47.5466,1357.77,1302.97,597.5925,542.7925,11.25,2.75,75.0,101.25,35.25,66.0,2.13,2.5225,10.0,2.5,3.75,11.0,9.0,6.25,2.375,1.0,0.0,0.0,1.25,0.75,2.0,22.89,13.0425,4.92375,9.105,0.0,110.75,2.5298221281347035,37.12877008204206
mp-979435,12.0,9.0,11.0,68.0,57.0,39.75,28.25,64.60085000000001,1814.0,891.0,1364.75,441.75,2.5,3.75,49.0,160.5,19.5,141.0,0.14000000000000012,1.3,1.0,0.5,0.5,3.0,1.0,2.5,0.5,0.0,4.5,0.0,4.5,4.5,0.0,32.365,25.095000000000002,3.6350000000000016,22.89,0.0,194.0,0.0,21.739350427534056
mp-7439,15.0,5.4375,3.0,83.0,80.0,45.875,32.15625,32.572238,1357.77,1040.47,714.6875,482.31187500000004,8.25,3.75,96.0,152.375,37.96875,132.0,1.37,1.5675,10.0,3.75,4.6875,11.0,10.0,5.75,3.9375,0.75,0.0,1.0,1.5,0.75,1.0,73.1066666667,37.2088095238125,26.923392857165624,11.07,0.40625,170.75,2.138089935299395,10.943222133374933
mp-1009220,1.0,5.0,2.0,92.0,90.0,47.0,45.0,21.98182928,370.87,356.86,192.44,178.43,1.0,2.0,135.0,98.5,67.5,31.0,1.27,1.5650000000000002,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,29.2433333333,17.92916666665,11.31416666665,6.615,3.9265,211.5,1.4142135623730951,19.0
