material_id,composition
mp-570891,K1 Br1
mp-571428,Mg1 Ni3 B2
mp-571513,Rb2 Nb1 Cl6
mp-5733,Ca1 Si1 O3
mp-5778,Al1 V1 Fe2
mp-581733,Zr4 Cu1 P1
mp-603,Be2 Ag1
mp-613162,Cs1 Sn1 Se3
mp-618991,Cu2 S1
mp-625136,Cs1 H1 O1
mp-631335,Mg1 Ta1 Zn1
mp-631388,Cd1 Ir1 Ru1
mp-631473,K1 Ti2 Bi1
mp-637179,Ca3 Sn1 N1
mp-640024,Hf1 In1 Ni2
mp-6408,Zn1 Cu2 Ge1 S4
mp-641923,Cs2 Sn1 Br6
mp-642750,Na1 V2 O4
mp-643243,Cs2 H6 Pt1
mp-643989,K1 H1 C1 O2
mp-644497,Ba1 Ti1 O3
mp-661,Al1 N1
mp-670,Nb1 Co2
mp-675045,Li7 V1 P4
mp-677072,Ca1 In2 Te4
mp-680671,Mg4 Zn7
mp-684969,Sc2 S3
mp-685941,In4 Sb1 Te3
mp-690794,Sr2 H1 N1
mp-6919,Sc1 Sn1 Au1
mp-696166,Ca1 H4 Cl2 O2
mp-697044,Ba2 H6 Os1
mp-7017,Na1 Nb1 N2
mp-7041,Ca1 Hg1 O2
mp-715482,Mo1 O2
mp-7228,Re1 O2
mp-7343,Y3 Pt1
mp-7366,Sr1 Ag2 Sn2
mp-7377,Ba3 Al2 Sn2
mp-7438,K1 Zn1 Sb1
mp-753490,Ti1 Cu1 Ge1
mp-753506,Li1 Bi1 S2
mp-753669,Hf1 Mn6 Sn6
mp-753802,Sc2 Ti2 O7
mp-753826,Li1 Cu1 S1
mp-754084,Cu2 O1 F2
mp-7544,Zr1 Si1 Ru1
mp-754531,Al2 O3
mp-755018,Rb1 Ta1 O3
mp-755959,Na1 Li1 O1
mp-7589,Mg2 N1 F1
mp-760396,Ta1 Al1 O4
mp-761872,Na2 Sn2 O3
mp-7643,K2 Ag1 Sb1
mp-770649,Li5 Nb1 O5
mp-773864,Ti1 Sn1 O4
mp-774411,Li2 V1 O2
mp-7753,Mg1 Pd3
mp-776150,Sc1 Ag1 O3
mp-776490,Al2 O3
mp-78,Ge1
mp-7819,Pd4 S1
mp-7823,V2 Ni1 Se4
mp-7845,Zn3 As2
mp-7880,Sr1 Si2 Ag2
mp-7910,Al2 Hg1 Te4
mp-795,Li1 Si1
mp-7964,Y1 Al1 O3
mp-8044,V2 P1 C1
mp-8126,Y1 Cu1 Si1
mp-8132,Li1 Ti3 Se6
mp-815,Ga1 Ni3
mp-8221,Zr1 As1 Ru1
mp-827,K1 N3
mp-8399,Cs1 Cd1 F3
mp-8409,K1 Y1 O2
mp-841,Li2 O2
mp-842,Ca1 Pt2
mp-850878,Fe4 O5 F3
mp-8566,Ag1
mp-861610,Tc3 Pd1
mp-861961,Ti1 Zn1 Rh2
mp-862334,Sc2 Ir1 Rh1
mp-862620,Ir1 Ru3
mp-862684,Li1 Hf2 Os1
mp-862700,Al1 V1 Os2
mp-8628,Te4 Pt3
mp-862871,Pb1 Cl2
mp-864607,Zr1 Cd1 Pd2
mp-864770,Ta2 Mo1 Os1
mp-864920,Mg1 Zr1 Au2
mp-864938,Mg3 Tl1
mp-864952,Mg3 Ag1
mp-864954,Mg1 Mo1 N2
mp-864980,Mn1 Al1 Ru2
mp-865001,Hf1 Sc1 Os2
mp-865003,Be2 Ir1 Pd1
mp-865011,Mn2 Nb1 Al1
mp-865023,Hf1 Tc2 Sb1
mp-865026,Mn2 V1 Si1
mp-865191,Fe1 Ge1 Ru2
mp-865212,Fe3 Re1
mp-865235,Ti6 Al16 Ni7
mp-865469,Ti2 Mn1 Ru1
mp-865482,V1 Tc2 Ge1
mp-865641,Y2 Ni1 Ru1
mp-865655,Ti1 Nb1 Tc2
mp-865664,Ti1 Re2 W1
mp-865867,Li2 Y1 Tl1
mp-865869,Be2 Cu1 Pt1
mp-866132,Na2 Tl1 Sb1
mp-866134,V1 Fe3
mp-866224,Be2 Ni1 Pt1
mp-866279,Ca1 Cd1 Pd2
mp-867210,Li1 Ca2 Hg1
mp-867243,Sc2 Zn1 Os1
mp-867306,Al1 Cu1 Au2
mp-867350,Ca2 Mg1 In1
mp-867357,Tc3 Ni1
mp-867775,Al2 Ni1 Ru1
mp-867805,Li1 Ca2 Ga1
mp-8756,K1 Li1 Se1
mp-8864,Li1 Co6 P4
mp-9061,K1 Pd1 F3
mp-9172,Li4 Ti1 O4
mp-92,Si1
mp-9200,K3 Au1 O1
mp-9223,Sc1 Ge1 Ru1
mp-9264,Na1 Te1 Au1
mp-9383,Sr1 Hf1 N2
mp-950,Na1 Zn13
mp-9567,Ba1 Mg2 Sb2
mp-9586,Nb1 Sn1 S2
mp-961678,Sc1 Co1 Te1
mp-962071,Mg1 Sc1 Tl1
mp-966800,In1 P1
mp-971911,Zn1 N1
mp-972087,Zr1 H3
mp-972987,Mn3 Tl1
mp-973004,Sc1 Ru3
mp-973181,Mn3 Zn1
mp-973343,Li2 Mg1 Hg1
mp-973534,Fe1 Re1
mp-973622,K3 Sr1
mp-973983,Ni1 Pd3
mp-974061,K1 Si1 O3
mp-974335,Ru1 Rh3
mp-974417,Re3 Sb1
mp-974832,Rb3 Pb1
mp-974949,Rb3 Ir1
mp-976023,Li3 Ga1
mp-976334,Li3 Tc1
mp-976893,Ni3 Sb1
mp-977117,Na1 Te1 O3
mp-977443,Zr1 Ge1 Ru2
mp-977462,Zr1 Cd1 Au2
mp-978267,Mg2 Zn1 Rh1
mp-978268,Mg1 Zn1
mp-978275,Mg1 B7
mp-978290,Mg3 Os1
mp-978304,Mg3 Ta1
mp-978496,Si1 B4
mp-979423,Y1 Ga3
mp-980203,Ti1 Os3
mp-981749,Tc1 Ag3
mp-982885,K1 Ca1 O3
mp-984240,Cs1 Ca1 O3
mp-984699,Ba1 Sr3
mp-985439,Ba1 P1 Au1
mp-989513,Sr1 W1 N3
mp-989523,Rb2 Na1 As1 F6
mp-989550,Rb2 Tl1 In1 Cl6
mp-989573,Rb2 Br1 Cl6 F1
mp-989579,Rb2 Li1 Tl1 Cl6
mp-989695,Cu1
mp-990084,Na2 Cl1
mp-9951,Mn1 Nb1 Ge1
mp-996980,Ag1 Au1 O2
mp-997108,Rb1 Ag1 O2
mp-998196,Rb1 Cu1 Br3
mp-9983,Ta2 Se3
mp-998913,K1 O3
mp-999473,Zn1 N1
mp-999576,Mn2 Si1 Ru1
mvc-11686,Sn1 O2
mvc-11730,Y1 V1 O3
mvc-15521,Y1 Ag1 O3
mvc-15848,Mn1 Zn1 F6
mvc-15861,Mg1 W1 F6
mp-1001826,V1 N1
mp-1002188,Tc1 B1
mp-1002572,Li1 Mn1 O2
mp-1003637,Li1 Mn3 O6
mp-10037,Al1 Co3 C1
mp-1006226,Zn1 Bi1
mp-1007693,Hf1 Os3
mp-1007776,Tl1 P1
mp-1008873,Mn1 Co1 Se1
mp-1008874,Mn1 Co1 Te1
mp-1009592,Cr1 Fe1 Te1
mp-1013553,Sr3 As1 P1
mp-1013558,Ca3 Bi1 P1
mp-1016873,Ca1 Hf1 O3
mp-1016903,Cd1 Ge1 O3
mp-1017,Zr3 O1
mp-1017529,V1 Co3
mp-1017591,Ba1 Ru1 O3
mp-1018026,Li1 Ag1
mp-1018101,Al1 Co3
mp-1018149,Sc1 Cu2
mp-1018649,B1 C5
mp-1018652,K1 Cd1 Sb1
mp-1018712,Hf1 Ga4 Co1
mp-1018849,Os1 N1
mp-1019279,Sr1 Zn1 Sn1
mp-1019508,Al1 Ga3 N4
mp-10213,Y1 Ge2
mp-10214,Y2 Ge1 Rh3
mp-1021489,Ir1 O3
mp-1024067,Na2 Zn1 S2
mp-1025151,Cr2 Ni1 Se4
mp-1025161,In1 P1 Pd5
mp-1025182,V2 Fe1 Se4
mp-1025187,Cd1 P1 Pt5
mp-1025224,V1 Cr2 S4
mp-1025258,Zn1 P1 Pd5
mp-1025270,Ga1 P1 Pt5
mp-1025301,Ga1 P1 Pd5
mp-1025302,Hg1 P1 Pd5
mp-1025311,Cd1 As1 Pt5
mp-1025339,Y2 Fe2 Si2 C1
mp-1029293,Cs1 V1 N2
mp-1029338,Li1 V2 N3
mp-1029395,Li1 Cr1 N2
mp-1029616,Ba1 Ta2 N4
mp-1029640,Ba3 Os1 N3
mp-10381,K2 Cu1 Sb1
mp-1039141,Mg1 Al1
mp-1039147,Ca1 Zn1
mp-1039383,Ca1 Mg3
mp-1039385,Ca5 Mg1
mp-1039434,Mg5 Cd1
mp-1050,Ni3 S4
mp-10636,Sr1 Sb2
mp-10649,Si1
mp-10667,Sr1 Ag1 P1
mp-1068,Cu1 S2
mp-10680,Ba1 Se1
mp-10697,Sr1 Ge2 Rh2
mp-10700,Mg1 Ni3 C1
mp-10761,Fe1 Te1
mp-1077,B2 Ru1
mp-10844,Te2 Ir1
mp-10878,Ca1 Mn4 Al8
mp-10953,Sc2 Cd1 S4
mp-1114,V1 P1
mp-11181,Cs1 Mn2 P2
mp-11191,Cr1 Si2
mp-11290,Ca1 Sn3
mp-11299,Cd2 Hg1
mp-11361,Mg1 Cu1 Sn1
mp-11453,Hf1 Pd3
mp-11464,Mg1 Hg2
mp-11465,Mg5 Hg3
mp-1147,Ti3 O5
mp-11490,Li2 Zn1 Sn1
mp-11501,Mn1 Ni3
mp-11513,Nb1 Ni3
mp-11537,Nb1 Al1 Ru2
mp-11658,Cu2 Sn1 Se3
mp-11770,Co1 Cu2 Sn1 S4
mp-11818,Ba1 Zn1 Ge1
mp-11824,Ca3 P1 N1
mp-12083,Cr1 Ir3
mp-12266,Ca1 Cu1 F4
mp-12595,Mo1 Rh1
mp-12693,Mg2 Rh1
mp-12700,Nb1 Pt3
mp-12760,Zr6 Al2 Co1
mp-12769,Y1 Si2
mp-12781,Sc1 Al2 Ni1
mp-12814,Ba3 Sb1 N1
mp-12854,Zn1 Cu2 Ge1 Te4
mp-12884,Hf5 Te4
mp-12954,Cu1 B1 S2
mp-12961,Y1 Al1 Pd1
mp-13053,Sr1 Si1
mp-131,Zr1
mp-1314,Li12 Si7
mp-1339,Nb1 Ir3
mp-13434,Ca1 Mg1 Ni4
mp-13450,Hf1 Sb1
mp-13641,Ti1 Cd1 O3
mp-13852,Ge3 N4
mp-13853,P3 Ir1
mp-13900,Sr1 Cu2 O2
mp-13963,Hf1 Si1 Te1
mp-13992,Cs2 Pt3 S4
mp-140,Ga1
mp-14018,K3 As1
mp-14433,Na1 Ge2 N3
mp-14587,Zn1 P4
mp-1475,Be12 Mo1
mp-1476,Sc1 S1
mp-1509,Sn2 S3
mp-1521,Sb7 Mo3
mp-1522,Fe1 S2
mp-1558,Sr1 Pd2
mp-1570,Y1 Fe2
mp-16334,Fe3 Pd1 N1
mp-1638,Sr1 Al2
mp-16495,Al1 Cr1 Fe2
mp-16521,Al3 Os2
mp-16522,Al2 Pd1
mp-1670,Mn1 Pt1
mp-16755,Mg1 Al2 S4
mp-16775,Cd1 Cu2
mp-1682,Zr1 As1
mp-1687,Ba1 Pd2
mp-16886,Cd1 Au1
mp-16913,Ag2 Se1 O3
mp-17,Cr1
mp-17095,Cs1 Cu1 Se4
mp-1734,Ca1 Zn5
mp-1743,Mo5 As4
mp-1794,Be1 O1
mp-1883,Sn1 Te1
mp-18918,Zn1 W1 O4
mp-18919,Co1 Pd1 O2
mp-19050,Ca2 Mn1 O4
mp-19128,Co1 O1
mp-19231,Mn1 Sb2 O4
mp-19279,Li2 Mn1 O2
mp-1932,Nb3 Os1
mp-1936,Ta1 As1
mp-19413,Al1 W1 O4
mp-19814,Ni1 As2
mp-19850,Mn1 Co2 Ge1
mp-19877,Zr1 Ni2 Sn1
mp-19983,Ti1 Cu1 Sn1
mp-20049,Li1 Fe1 P1
mp-2018,Al1 Fe3
mp-20327,Ti1 P2
mp-20440,Mn1 Ni2 Sn1
mp-2052,Sc1 As1
mp-20541,V2 P1
mp-20551,Ga1 Co2 Ni1
mp-20599,Pd1 Pb2
mp-20697,Zr1 Ni1 Sb1
mp-20805,Pd1 Pb1 F4
mp-2089,Zr1 Te3
mp-20952,Ti1 Ni1 Sb1
mp-20971,Sn1 Pt3
mp-21096,Ca1 Mn1 Si1
mp-21260,Fe1 Sn1
mp-21318,Pt1 Pb2
mp-21449,Nb1 Co1 P1
mp-21505,Y1 Ag1 Pb1
mp-2168,Sn1 Se1
mp-2182,Sn1 As1
mp-21893,Mn1 Te2
mp-22270,Co1 P1
mp-22271,Cu1 As2 O4
mp-22275,Y1 Sn1 Pt1
mp-22325,P2 Pb2 O7
mp-22367,Pd1 Pb1 O2
mp-22400,Mn1 Cu2 Sn1 Se4
mp-22535,Hf1 Pb1 O3
mp-22558,Ti1 Si1
mp-22607,Zn1 In2 Se4
mp-2263,Sc1 Ir2
mp-22691,In1 Se1
mp-22895,Cu1 I1
mp-22913,Cu1 Br1
mp-2293,Mn1 Se1
mp-22939,Bi1 Cl1 O1
mp-22967,Li2 Fe1 Br4
mp-23072,Bi1 Br1 O1
mp-23152,Bi1
mp-2339,Ti3 Pt1
mp-2349,Y1 Cd3
mp-23499,K2 Sn1 Cl6
mp-23560,Ge3 Bi4 O12
mp-23704,Na1 Al1 H4
mp-23712,Mg1 H2
mp-24084,K1 H1
mp-24668,Cs1 H1 F2
mp-250,Mg2 Ge1
mp-25082,Mo1 C6 O6
mp-253,Sc1 Co2
mp-2536,Ni2 B1
mp-255,Na1 Hg1
mp-258,Zr1 V2
mp-2589,Mg1 O2
mp-27296,Zr1 Ti2 O1
mp-27393,Al1 Pd5 I2
mp-27418,K1 Au1 O2
mp-2744,Li1 Pd1
mp-27454,Ba1 Li2 Si1
mp-27488,Ta3 N5
mp-27577,Cd2 As3 I1
mp-27668,Mg2 Ga5
mp-2780,Fe3 Se4
mp-2783,Ta2 Si1
mp-28084,Rb2 Pd1 Br6
mp-28171,K3 I1 O1
mp-2824,Al1 Pd2
mp-284,Al1 Co1
mp-2853,Ga1 N1
mp-2856,Mn4 Al11
mp-29484,K4 Hg1 As2
mp-29584,K4 Be1 As2
mp-29623,Sr1 Zn1 Bi2
mp-29661,Si5 Pt6
mp-29806,Cs2 Pd1 I6
mp-29809,Ca2 Ge1 N2
mp-2988,Li2 Ga1 Rh1
mp-30301,Li1 Cl1 O4
mp-30357,Sr3 Ag2
mp-30362,Zr3 Ag1
mp-30392,Li2 In1 Au1
mp-30443,Be17 Ru3
mp-30461,Bi1 Pd2 Pb1
mp-30483,Ca1 Zn1
mp-30485,Ca3 Zn1
mp-30551,Ga1 Fe1 Co2
mp-30570,Cr1 Ga1 Fe2
mp-30580,Sr1 Ga1 Cu2
mp-30587,Mg1 In1 Cu4
mp-30656,Ti1 Ga1 Ni1
mp-30673,Ti2 Ga3
mp-30684,Zr3 Ga2
mp-30778,Mg5 Rh2
mp-30836,Ta1 Pd3
mp-30884,Y1 Zn3
mp-3102,Ta1 Cu1 S3
mp-31145,Ba1 Cu1 Bi1
mp-31184,Al1 Fe2
mp-31326,Mg2 In1
mp-3142,Ca1 N2 O6
mp-3155,Sc3 Fe1 C4
mp-316,Mn1 V1
mp-31900,Ta1 Mn2 O3
mp-3255,Sr1 Cu2 O3
mp-331,Sc1 Al1
mp-33997,Ta1 O2 F1
mp-3405,Na1 Al11 O17
mp-3441,Y1 Si2 Rh2
mp-3654,Rb1 Ca1 F3
mp-36884,Mn2 Sn1 O4
mp-37091,Sr1 Al2 Te4
mp-374,Cr1 B2
mp-3849,Tl1 Fe1 S2
mp-3988,Ba1 Cu3 O4
mp-42,Ta1
mp-432,Nb1 Ru1
mp-4382,Y1 B2 Ru3
mp-4563,Ti3 Tl1 C1
mp-473,Na3 P11
mp-4744,Ca1 Ni2 As2
mp-4823,Na2 Pd1 C2
mp-485,Zr1 Ni3
mp-4901,Y2 Mg1 Cu2
mp-4913,Li1 Ga2 Rh1
mp-4955,Al1 V1 Co2
mp-504974,Fe2 Mo3 O8
mp-510625,Cr1 Cu1 O2
mp-5238,Ga1 Cu1 S2
mp-527,Ba1 Cd1
mp-5409,Y4 Al2 O9
mp-541899,Cs1 Cd1 Br3
mp-543001,Zr5 Sn4
mp-544,Ti3 Ir1
mp-546500,Na1 C1 N1 O1
mp-5478,Tl1 Pd3 O4
mp-553432,Ti1 O2
mp-554212,Tl2 Ni3 S2
mp-554462,Ti1 S1
mp-555576,K1 Na1 S2 O7
mp-556,Zr1 Ni1
mp-556076,Sr2 Co2 O5
mp-556242,Y1 F3
mp-558078,Rb2 Na1 Fe1 F6
mp-5590,Y1 Mg1 Ga1
mp-559612,K1 Li1 O1
mp-561511,Fe1 As1 S1
mp-561894,Ba2 Co1 Mo1 O6
mp-5671,Sr1 Co2 P2
mp-567220,Hf2 Sb1 P1
mp-567510,Ba1 Sn2
mp-567652,Cs2 Li1 Y1 Cl6
mp-567657,K1 Cu2 Se2
mp-567666,Ba3 Bi1 N1
mp-568137,Cs3 Mg2 Cl7
mp-568280,Ba1 Ni2 As2
mp-568346,Hf1 Br1 N1
mp-568430,Ba1 Rh2
mp-568436,Sr7 Ge1 N6
mp-568598,Cu2 Hg1 I4
mp-568695,Ca1 Cd1 Sn1
mp-568696,Si1 C1
mp-568748,Fe2 B1
mp-568961,Ba1 Fe2 As2
mp-569310,Sr1 P2 Os2
mp-569511,Ni1 Te1 Pd1
mp-569516,Hf1 Ni5
mp-569624,Hf1 Cr2
mp-569679,Zn1 Se1
mp-570017,Mg1 Au3
mp-570430,Ta1 Co2
mp-570604,Ta1 N1
mp-570673,Sc1 Ni5
mp-570963,Ta1 Cr2
mp-571270,Nb1 Se2
mp-571343,Cs1 Co2 Se2
mp-571648,Rb2 Mn1 Cl6
mp-5749,Cr2 Fe1 Se4
mp-579496,Fe3 Pt1 N1
mp-580287,Zr3 Cu1
mp-580886,Zr1 I1 N1
mp-5821,Ta1 Ag1 S3
mp-582360,Ta1 Pd3
mp-5924,Mg1 Si1 O3
mp-597,Ti1 Ni1
mp-6008,Ca3 Al2 Si3 O12
mp-601285,Mn1 Ga1 Ni2
mp-607475,Zr4 In5 Co2
mp-612740,In2 Se3
mp-614603,Cs1 I1
mp-622570,Ti2 Cu3
mp-623024,Ti1 Cd1 F6
mp-625,Mg3 Ru2
mp-625054,Al1 H1 O2
mp-628606,Rb2 Pd1 I6
mp-631316,Li2 Ga1 Sb1
mp-631525,K1 Hg2 B1
mp-634,Hg1 S1
mp-639874,Ta2 Al1
mp-643260,Na2 H4 Pd1
mp-644271,Li1 H1 S1
mp-649479,Ca5 In2 Sb6
mp-6613,Ba2 Y1 Ta1 O6
mp-675626,Cu3 As1 Se4
mp-685036,Al2 O3
mp-685991,Li5 Si1 P3
mp-690535,Na1 W2 O6
mp-696752,K1 P1 H2 O4
mp-6968,Cs2 K1 Cu1 F6
mp-6980,Sc1 Cu1 S2
mp-712,Y1 Cu1
mp-753326,Li1 Ag2 F6
mp-754065,Hg1 Sb2 O6
mp-754403,Zr1 O2
mp-755690,Nb1 O2
mp-755894,Li2 O1
mp-756490,Li6 Mn1 S4
mp-757031,Mg2 Ti1 O4
mp-7575,Li1 Zn1 N1
mp-760403,Ca1 Cd3 O4
mp-760414,Ti3 Pd1 O1
mp-760432,Cu2 O3
mp-7623,Mg1 As4
mp-7632,Ni1 Mo1 P1
mp-764233,Na8 Co1 O6
mp-768358,Sc1 In1 O3
mp-769111,Sc3 Bi3 O11
mp-771123,Sc1 Fe1 O3
mp-774736,Li1 Cu1 S1
mp-776404,Zr1 O2
mp-777595,Li1 Fe1 F4
mp-780260,Ti1 Ge1 O3
mp-7822,Sc5 Si3
mp-7857,Ti1 B1
mp-8045,V5 P3 N1
mp-8145,Rb1 Sc1 O2
mp-8192,Rb2 Pt1 F6
mp-8231,Zr1 S1 O1
mp-8454,K1 F1
mp-861,Hf2 Ni1
mp-861663,Li1 Rh2 Pb1
mp-861978,Hf2 Re1 Ir1
mp-862291,Be1 Ga1 Rh2
mp-862311,Sc2 Ga1 Ru1
mp-862321,Li1 As1 Pd2
mp-862368,Sc2 Ni1 Pt1
mp-862473,Sc2 Ag1 Ru1
mp-862691,Al2 Fe1 Co1
mp-862702,Sc2 Ag1 Hg1
mp-862705,Al1 Zn1 Ir2
mp-862725,Sc1 Tc2 W1
mp-862740,Sr2 Tl1 Cd1
mp-862779,Tc3 Os1
mp-862887,Li1 Sc2 Os1
mp-863709,Ir3 Rh1
mp-864661,Zn1 Cu1 Pd2
mp-864684,Hf2 Mo1 Ir1
mp-864807,Hf1 Zn1 Ni2
mp-864927,Hf2 Re1 Os1
mp-864955,Mn2 Cr1 Co1
mp-865014,Mg2 Cu1
mp-865032,Mn2 Pt1 Rh1
mp-865049,Hf1 Mg1 Pd2
mp-865174,Hf1 Cd1 Rh2
mp-865342,Zn3 Rh1
mp-865376,Y1 Mg3
mp-865432,Y2 Ni1 Ir1
mp-865496,V1 Ir3
mp-865501,V2 Tc1 Ru1
mp-865524,Y1 Cd1 Pt2
mp-865582,Li2 Cd1 Pd1
mp-865743,Ga2 Ir1 Rh1
mp-865899,Ti3 Os1
mp-865930,Ti1 Zn1 Cu2
mp-865939,Li1 Mg2
mp-866006,Ca1 Bi3
mp-866051,Hf1 Fe2 Sn1
mp-866071,Mg1 Ta1 Os2
mp-866081,Mg1 Sc2 Os1
mp-866087,Mg1 Si1 Rh2
mp-866171,Y1 Mg1 Au2
mp-866188,Tl1 Cd1 Rh2
mp-866375,Ti1 Fe2 Ge1
mp-867156,Sc1 Ga1 Ru2
mp-867229,Rb1 Sn3
mp-867253,Li1 Zn2 Ir1
mp-867274,Be2 Co1 Ir1
mp-867327,Hf2 Tc1 Ru1
mp-867771,Ta1 Cu1 Rh2
mp-867779,Ta2 Cr1 Fe1
mp-867854,Ca2 Zn1 Rh1
mp-8772,Sc1 B12
mp-8804,Li6 Mo1 N4
mp-9166,Mg1 C1 N2
mp-9251,Tl1 Te3 Pt2
mp-933,Y1 As1
mp-9382,Sr1 Zr1 N2
mp-9473,Ba1 Ni2 P2
mp-9549,Sc1 Fe1 Ge1
mp-9569,Ca1 Zn2 P2
mp-9610,Li2 C1 N2
mp-961710,V1 Si1 Pt1
mp-962075,Sr1 Mg1 Sn1
mp-972822,Si1 B1 O3
mp-972861,Sc2 Tl1 Tc1
mp-972916,Mg1 Cu1
mp-973022,Sc1 Ru3
mp-973174,Na1 Ag3
mp-973229,Sc1 Nb1
mp-973364,Mg1
mp-975284,Rb1 Ir1 O3
mp-976,V6 Si5
mp-976185,Na1 Be1 O3
mp-976414,Li3 Zn1
mp-976763,Ni1 As1 O3
mp-976806,Ni1 Au3
mp-977207,Li2 Mg1
mp-977434,Nb3 Ru1
mp-978269,Mg1 Zn2
mp-978274,Mg1 Cd1
mp-978287,Mg3 Mo1
mp-978303,Mg3 Re1
mp-978493,Si1 Sn1 O3
mp-981375,Hf1 Mg3
mp-982246,Pb1 Au3
mp-984873,Al3 Fe1
mp-985296,Ag3 Pd1
mp-985440,Cr1 Ga3 P4
mp-985586,Na3 Br1 O1
mp-989192,Sn1 Cl1 F1
mp-989514,Cs2 Na1 Sb1 Cl6
mp-989537,Cs2 Tl1 In1 F6
mp-9950,Ba1 Li1 Si1
mp-997006,Ag1 Pt1 O2
mp-997031,Mg1 Cu1 O2
mp-997094,Sr1 Au1 O2
mp-997098,Cu1 Pt1 O2
mp-9972,Y1 Si1
mp-998,Al2 Cu1
mp-998197,Rb1 Ca1 Cl3
mp-999069,Ti2 Al1 Fe1
mp-999258,Sc2 Mn1 Ge1
mp-999307,Os1 N1
mp-999498,N2
mp-999543,Mn1 Co3
mp-9996,Si1 P2
mvc-13442,Cu2 S1
mvc-13995,Y1 Ti1 O3
mvc-15475,Al1 Ag1 O3
mvc-15989,Y1 W1 O3
mp-1001827,Ir1 C1
mp-1001835,Li1 B1
mp-1002081,K1 Na1 I1 Cl1
mp-1008277,Cr1 Co2 As1
mp-1008631,V1 Co1 Te1
mp-1008798,Re1 N2
mp-1009222,Mn1 Te1
mp-1009593,Cr1 Co1 Te1
mp-1009655,Ca1 C2
mp-1013546,Ca3 Sb2
mp-1014231,Hf2 Zn1
mp-1016823,Ba1 Ge1 O3
mp-1016836,Zn1 Os1 O3
mp-10173,Li1
mp-1017543,Zr1 Pd3
mp-1018009,Li2 Mg1 Si1
mp-1018022,Nb1 In1 S2
mp-1018040,Mg1 Se1
mp-1018051,K1 Ti1 S2
mp-1018061,Fe1 H3
mp-1018672,Co1 As2
mp-1019272,Ta1 N2
mp-1025165,Zr1 V2 Ga4
mp-1025190,Co2 Ni1 Se4
mp-1025229,Ti1 Ga5 Co1
mp-1025252,Cs2 Mn1 Cl4
mp-1025318,Co1 Ni2 Se4
mp-1025322,V1 Co2 Se4
mp-1025396,Nb1 Tl3 Se4
mp-1025425,Co3 H1
mp-10256,V1 Te1
mp-1029458,Zn2 Cr1 N3
mp-1029469,Zn1 Sn1 N2
mp-1029782,Ca3 W3 N5
mp-10374,Cr3 Pt1 N1
mp-1038,Mg1 Cu2
mp-1039368,Ca1 Mg1
mp-10463,Y1 Co4 B1
mp-10519,Cu2 Sn1 S3
mp-10550,Sr1 Mg2 N2
mp-10671,Sr3 Al2 Ge2
mp-10894,Mn1 Al1 Rh2
mp-10898,Sc1 Al1 Ni2
mp-10899,Al1 V1 Ni2
mp-10905,Al3 Pt2
mp-10910,Al2 Ru1
mp-10918,Rb2 Pd1 C2
mp-11021,Ga1 Au1 O2
mp-11201,Sc6 Fe1 Sb2
mp-11256,Sc1 Au1
mp-11275,Be2 Re1
mp-11277,Sc1 Be5
mp-11283,Zr1 Be5
mp-11307,Mg1 Cd1
mp-11472,Sr1 Hg2
mp-11489,Li3 Pd1
mp-11521,Sc1 Ni1
mp-11649,Ca3 Si1 O1
mp-12086,Cu3 Pt1
mp-1245,Sr2 N1
mp-12564,Li1 Sb1 Au1
mp-12585,Cr1 Rh3
mp-12716,Li1 Tl1 Pd2
mp-1275,Si1 Mo3
mp-12773,Zr2 Al1
mp-12779,Cd1 Te1
mp-12903,Y1 Ag1 Te2
mp-13,Fe1
mp-13094,Y1 Al2 Ni1
mp-13190,K1 Rb2 Ga1 F6
mp-13270,Ca1 Ag2
mp-13276,Sr1 Li1 P1
mp-13364,Ca1 Zn2
mp-13459,Na1 Cd1 Sb1
mp-1352,Zr1 N1
mp-1357,P3 Rh1
mp-1406,Mn1 Te1
mp-14089,Tl1 Cu1 S2
mp-1425,Ti1 Cr2
mp-14476,Li1 Rh1 O2
mp-146,V1
mp-14796,K1 Pt2 Se3
mp-1519,Ca1 Te1
mp-15252,Cu2 Ge1 S3
mp-1551,Te2 Ir1
mp-15556,Rb2 As3
mp-15621,Al1 Sb1
mp-15641,Ca1 Mg1 Ge1
mp-15685,Na2 Cu1 As1
mp-15687,K1 Zn1 As1
mp-157,P1
mp-15704,Be1 Si1 N2
mp-15777,Zn1 Ga2 Te4
mp-15799,Nb1 N1
mp-15803,Y2 Mg1 Se4
mp-1581,As2 O3
mp-16043,Mg1 As4 Rh6
mp-16260,Ca1 Ge2 Pd2
mp-16263,Ca1 Zn1 Ge1
mp-1627,Mo2 S3
mp-1641,Cr1 Sb1
mp-1646,Li3 Hg1
mp-16481,Ti1 Al1 Au1
mp-16494,Al1 Cr1 Cu2
mp-16501,Hf1 Al1 Pd2
mp-16648,Li1 Sn4 Rh1
mp-173,Mn1 Al6
mp-17383,Ni2 Ge1
mp-1822,Ti1 As1
mp-18257,Fe7 C3
mp-1831,Sr1 Au5
mp-1836,Tl1 Se1
mp-1842,Nb1 Al3
mp-1849,Mn2 P1
mp-18717,Sr1 V1 O3
mp-18848,Sr2 Mg1 W1 O6
mp-18943,Ba1 Ni1 O2
mp-18968,Li2 Fe1 Si1 O4
mp-19006,Mn1 O1
mp-19163,Sr1 W1 O4
